"id","title","published_at","url","description","like_count","channel_id","channel_title","channel_url","channel_description","be_excluded"
"6OxmyCtGcwU","美ゴルファー イ・ボミ 韓国CMメイキング 　かなり前っぽい。","2018-06-30 19:02:31 UTC","https://www.youtube.com/watch?v=6OxmyCtGcwU","ゴルフ代の捻出はこちらで → 【関連動画】 ・新美貌プロ ユン チェヨン ポスト イ・ボミ ヤマハレディース2016 3日目.

ゴルフ代の捻出はこちらで → 【関連動画】 ・新美貌プロ ユン チェヨン ポスト イ・ボミ ヤマハレディース2016 3日目.","0","UCxBm3oNYQiCF6kOntsTLSyQ","Michale Christianson","https://www.youtube.com/channel/UCxBm3oNYQiCF6kOntsTLSyQ","","0"
"dR24S_bLe48","cozy beach club CM動画","2018-06-30 05:10:19 UTC","https://www.youtube.com/watch?v=dR24S_bLe48","","0","UCsiHUVtrAAyaUQ-Hts4WKnw","fnd株式会社","https://www.youtube.com/channel/UCsiHUVtrAAyaUQ-Hts4WKnw","","0"
"bzcPnWrserE","【HD】乃木坂46 CM LINE Clova 実験室(×3)","2018-06-30 00:24:18 UTC","https://www.youtube.com/watch?v=bzcPnWrserE","LINE Clova 実験室　・・ 2018/06　15s×3

・LINE Clova 実験室  糸電話 編
・LINE Clova 実験室  大阪弁 編
・LINE Clova 実験室  大なわとび 編

CM出演：
　秋元真夏/白石麻衣/西野七瀬/星野みなみ/松村沙友理/
　大園桃子/久保史緒里/与田祐希

－－－
By tender448k (tender484k)　
・Main -- https://www.youtube.com/user/tender448k
・⊿46 -- https://www.youtube.com/c/tender484k","22","UCPmQ2K9pKlot4uRvwEW-LFA","tender484k","https://www.youtube.com/channel/UCPmQ2K9pKlot4uRvwEW-LFA","⊿46グループのCMコレクション チャンネルです。[46's CM Features]
メンバ出演CMやSingle曲を使ったCMなどをご紹介。
☆【HD】1080pの「高精細」動画を公開してます。
☆ オリジナルより「高彩色/高音質」にColor/Soundをエンハンスしていたりします。
[ ⊿46 / By tender484k ]

i.e.
[⊿46:Team of the SLOPE , □48:Team of the STAGE]
 ⊿:This triangle is the symbol for upslope. It means growing-up.
 □:This square is the symbol for stage. It means theater.
(なので、坂組と板組かと...)","0"
"mRWDhfGU0Lo","安藤裕子とTOKUが東京メトロのCMソングでコラボレーションし、小林武文も「中心になることができる」","2018-06-29 18:56:06 UTC","https://www.youtube.com/watch?v=mRWDhfGU0Lo","安藤裕子とTOKUが東京メトロのCMソングでコラボレーションし、小林武文も「中心になることができる」 
東京メトロ「Find my Tokyo.」キャンペーンの2018年度第二弾CMソングが、“安藤裕子 feat. TOKU”の「これでいいんだよ」に決定した。東京の魅力を伝えるキャンペーンとして2016年にスタートし、3年目を迎える「Find my Tokyo.」。2018年度も石原さとみがイメージキャラクターを務め、CMソングのプロデュースは小林武史が担当している。今回の新CMでは、石原さとみと安...","0","UCTtQrv8j3KDzSICrankXjMw","Morning Tea","https://www.youtube.com/channel/UCTtQrv8j3KDzSICrankXjMw","","0"
"K_sylCQMEXU","テレビマガジン2018年８月号 CM動画","2018-06-29 15:00:01 UTC","https://www.youtube.com/watch?v=K_sylCQMEXU","ひらくとながさ４４センチの『ＶＳビークル爆走超ずかん』と、ロッソとブルになりきれる『ウルトラマンＲ／Ｂ　完全なりきりセット』だ！　『仮面ライダービルド　ブットバソウル　シークレットメダル』と『ウルトラマン　フュージョンファイト！カード』もついてくる！","1","UCEASzjDaJT_pUY8nvODDCEw","KodanshaKodomoclub","https://www.youtube.com/channel/UCEASzjDaJT_pUY8nvODDCEw","げんき、おともだち、たのしい幼稚園、テレビマガジンなど、講談社のこども雑誌をご紹介します。","0"
"KnG1dsT3e50","バーガーキングcm イジメ防止の動画が話題に…いじめを見た時、止められる…？","2018-06-29 13:44:54 UTC","https://www.youtube.com/watch?v=KnG1dsT3e50","","0","UCX2GP28XJd59BRS0I503rGQ","エッグマシーン","https://www.youtube.com/channel/UCX2GP28XJd59BRS0I503rGQ","i japanese like videos
見てくれよな✨","0"
"hlcU7CRAmRs","【番外編】イノシロChのCM『ミッドナイト・サンライズ編』【白夜ラジオ投稿作品】","2018-06-29 13:22:05 UTC","https://www.youtube.com/watch?v=hlcU7CRAmRs","今回の動画は「チャンネルのCM」よ！

あさひ様の白夜ラジオに投稿した作品です！
今回はイノクロとの共同制作だわ！

この動画は前回とは違ってVTuberCM提供には参加していないから注意してね！
（使用したい場合はツイッターのリプライやDMで連絡してくださるとありがたいです！）


あさひ 様のチャンネル「あさひちゃん寝る」
https://www.youtube.com/channel/UCuE6xoui7gZOTUiF0OtWWJw

このCMが流れた生放送「【第3回】あさひの白夜ラジオ【ラジオ放送】」
https://www.youtube.com/watch?v=CrkzMtXeShM

-------------------------
こんにちは！情報生命体""イノ""No.001『イノシロ』っていいます！
私たち情報生命体イノは、創作意欲や創作物を食べて生きてるの！
……でもね、飼い主さんに全然創作意欲が無くて……。
だから、無理やり創作活動をさせるべくバーチャルYouTuberを始めました！

よろしくお願いしまーす！！！！

-------------------------
twitter→ https://twitter.com/INOSHIROINO
マシュマロ→ https://goo.gl/FK7mot","27","UCIr3oRjF8sTKIUdi2Y9-2Wg","イノシロCHANNEL","https://www.youtube.com/channel/UCIr3oRjF8sTKIUdi2Y9-2Wg","バーチャルYouTuber始めます！イノシロっていいます！よろしくお願いします！

私たち「情報生命体イノ」は、とあるパソコンの中で暮らしてて、主に「創作意欲」や「創作物」を食べて生きてるの。
でも今のパソコンの持ち主（飼い主さん）は創作意欲が全然無い！
別に他のパソコンに引越してもいいけど……、せっかくだから飼い主さんに無理やり作品を作らせるために
YouTuberを始めるわよ！

---------------------
主な活動内容の予定
・いろんな方々が制作した作品の数々に実際に触れて感性を磨く（主にゲーム実況）
・エサの制作（創作活動。音楽やイラスト、3DCGなどに挑戦したいです）
---------------------","0"
"jeaoQxEYcsE","東京メトロ「Find my Tokyo.」新CM曲に安藤裕子＆TOKU（コメントあり） - 音楽ナタリー","2018-06-29 01:51:00 UTC","https://www.youtube.com/watch?v=jeaoQxEYcsE","東京メトロ「Find my Tokyo.」新CM曲に安藤裕子＆TOKU（コメントあり） - 音楽ナタリー:
https://natalie.mu/music/news/288901.

見ていただきありがとうございます。より多くの動画を購読してください:
https://www.youtube.com/channel/UC2rGKxNHbxmj7IiB2qw444g?sub_confirmation=1
  東京メトロが展開しているキャンペーン「Find my Tokyo.」の新CM「和光市_みずみずしい街」編に、安藤裕子 feat. TOKUの楽曲「これでいいんだよ」が使用される。 「Find my Tokyo.」はイメージキャラクターに石原さとみを迎え、東京各地の魅力を伝える企画。新CM「和光市_みずみずしい街」編では石原が安田聖愛と共に和光市の新倉ふるさと民家園や軽トラ市、うどん専門店「新倉うどん ひろとみ」などを訪れる様子が収められている。 このCMに使用される楽曲「これでいいんだよ」は小林武史がプロデュースを担当。小林は「東京近郊と言うのか、いわゆる中心と言うのではないけれど、何か引っ張られる、つい入り込んでしまう時間と空間があって、そこに主人公の多分恋愛の記憶が絡んでいくのを、サスペンスタッチでお届けしてみました」と楽曲のコンセプトを説明している。 CMは「Find my Tokyo.」の特設サイトで公開中。7月2日（月）より東京メトロ各線の駅構内や車内ディスプレイ、テレビにてオンエアされる。  
#東京メトロ「Find, #Tokyo」新CM曲に安藤裕子＆TOKU（コメントあり）音楽ナタリー
#安藤裕子, #FindmyTokyo, #和光市_みずみずしい街, #これでいいんだよ","0","UC2rGKxNHbxmj7IiB2qw444g","Marti Stephens","https://www.youtube.com/channel/UC2rGKxNHbxmj7IiB2qw444g","","0"
"P-Kimpk0fmA","KinKi Kids出演、BijoudeジュエリーCMに新曲「会いたい、会いたい、会えない。」（動画あり） - 音楽ナタリー","2018-06-29 01:05:39 UTC","https://www.youtube.com/watch?v=P-Kimpk0fmA","KinKi Kids出演、BijoudeジュエリーCMに新曲「会いたい、会いたい、会えない。」（動画あり） - 音楽ナタリー 
------------------------- 
Bijoude「KinKi Kids Select Model」広告画像 大きなサイズで表示（全9件） Bijoude「KinKi Kids Select Model」リング見本。ピラミッドを2つ合わせたような形のモチーフは、ソーヤブル（Sawable）というダイヤモンドの原石をイメージしたもの。 大きなサイズで表示（全9件） KinKi Kidsがブランドキャラクターを務めるジュエリーブランド・... 
------------------------- 
Subscribe US Now: https://www.youtube.com/channel/UCySdclFC7PguBvTSDJXf7rg?sub_confirmation=1 
------------------------- 
Videos can use content-based copyright law contains reasonable use Fair Use (https://www.youtube.com/yt/copyright/) 
Very excited to partner with other electronic newspaper pages. 
Please send me an email: connordavison8836@gmail.com 
------------------------- 
Thanks For Watching ! 
------------------------- 
New model of Toyota Crown: https://www.youtube.com/watch?v=oyI66rjTFoc 
Subscribe Now: https://www.youtube.com/channel/UCeeGK-wh-Pvp3BXHTvdQy9w?sub_confirmation=1","0","UCySdclFC7PguBvTSDJXf7rg","ホットニュース","https://www.youtube.com/channel/UCySdclFC7PguBvTSDJXf7rg","","0"
"ZxthYQ1kqWs","【和光市】石原さとみ出演！東京メトロ「Find my Tokyo.」新CM","2018-06-29 01:00:00 UTC","https://www.youtube.com/watch?v=ZxthYQ1kqWs","↓ぜひ、フィールドキャスターのチャンネル登録をお願いします！
http://www.youtube.com/user/fieldcasterjapan?sub_confirmation=1

女優の石原さとみさんがイメージキャラクターをつとめる東京メトロ「Find my Tokyo.」キャンペーンCM「和光市_みずみずしい街」篇(15秒)が公開されました。

 今回のCMは、有楽町線に乗って和光市へ。安田聖愛から送られてきた井戸の写真に「こんな場所あるわけ・・」と半信半疑な石原さんでしたが、住宅街の中にある手押し井戸を押したり、駅前の軽トラ市で和光市の水で育った野菜を買ったり、冷たい水でしめたうどんを和光市産の野菜のかき揚げとともに味わったりと、みずみずしい和光市の魅力を体感していきます。 

また、CMソングは小林武史さんプロデュースのもと、「安藤裕子 feat. TOKU」が「これでいいんだよ」を歌います。
 7月~9月は、和光市駅、練馬区の平和台駅、小竹向原駅をご紹介する広告を展開予定。
CMは2018年6月29日(金)10:00から特設WEBサイトにて、7月2日(月)からメトロ駅構内・車内ディスプレイにて順次公開。

↓芸能動画ニュースは「フィールドキャスター」
http://fieldcaster.net/","6","UC-J0pIKmHc6_chLUCch_wNA","fieldcasterjapan","https://www.youtube.com/channel/UC-J0pIKmHc6_chLUCch_wNA","株式会社フィールドキャスターは芸能イベントなどを自ら取材し、動画を編集しています。速報性を重視したWEB専門の動画ニュースです。
「LINE タイムライン」「Yahoo!映像トピックス 公式映像コーナー」「Yahoo!ネタりか」「Googleニュース」フジテレビ「ホウドウキョク」へ動画ニュースを配信しています。
さらに配信先を募集しています。チャンネル登録をお願いします！

▼フィールドキャスターお笑い専門チャンネルはこちら！▼
https://www.youtube.com/channel/UCa61DTmyZhhgO_3Nx6BETLg

info@fieldcaster.net
↑動画ニュースの二次利用等の問い合わせ、お仕事のお問い合わせはこちらから。お気軽にご連絡ください。

release@fieldcaster.net
↑イベントなどのリリースはこちら。リリースは随時募集しております。

http://fieldcaster.net/

新規スタッフを募集しております。詳細はホームページをご覧ください。

It is a channel which exhibits the image which we covered and edited. News and an entertainments event are in the mainstream.

Please Subscribe!","0"
