"id","title","published_at","url","description","view_count","like_count","channel_id","channel_title","channel_url","channel_description","be_excluded"
"W4kcreWCyTw","【ツール特集①】ツール・ド・フランス CM 2018版","2018-06-29 09:45:40 UTC","https://www.youtube.com/watch?v=W4kcreWCyTw","ツール・ド・フランス 2018の  J sport のCMです。CMを見るとツールが始まるんだと実感します。",5503,54,"UC_11mx5WSFcSGaJW8IBR-uQ","遠藤","https://www.youtube.com/channel/UC_11mx5WSFcSGaJW8IBR-uQ","スキージャンプとロードレースと私",1
"oPsi6fJRGm4","ロッテ EATMINT（イート・ミント）CM動画「竹内涼真：ミント3兄弟篇」","2018-06-04 23:45:28 UTC","https://www.youtube.com/watch?v=oPsi6fJRGm4","からだの奥で味わうと、ミントはうまい。
噛むと口の中で溶けて広がるミントの清涼感。
ガムのように噛んでタブレットのように飲みこめる第3のミント、「EATMINT」登場。
今までにないミントの爽やかさが楽しめます。

※「第3のミント」とはガム、タブレットに続く、新しいミント製品です。

詳しくはEATMINT（イート・ミント）Webサイトへ！
 https://www.lotte.co.jp/products/brand/eatmint


ロッテ EATMINT（イート・ミント）
【公式サイト】https://www.lotte.co.jp/products/brand/eatmint
【チャンネル登録】 https://goo.gl/2qgBr3",1460,,"UC_1s0vvGPkQVmEsevuIbVZQ","LOTTE EATMINT","https://www.youtube.com/channel/UC_1s0vvGPkQVmEsevuIbVZQ","からだの奥で味わうと、ミントはうまい。
噛むと口の中で溶けて広がるミントの清涼感。
ガムのように噛んでタブレットのように飲みこめる第3のミント、「EATMINT」登場。
今までにないミントの爽やかさが楽しめます。

※「第3のミント」とはガム、タブレットに続く、新しいミント製品です。

EATMINT(イート・ミント)公式サイトは https://www.lotte.co.jp/products/brand/eatmint/
ロッテサイトは https://www.lotte.co.jp/


■株式会社ロッテ（ https://www.lotte.co.jp/ ）
ロッテ(LOTTE Co., Ltd.) は、東京都新宿区に本社を置き、
キャッチコピー「お口の恋人、ロッテ」で有名となったお菓子メーカーです。
1948年、チューインガムの製造から始まり、およそ70年で日本有数のお菓子企業として成長しました。
これまで、「Ghana」・「コアラのマーチ」・「キシリトールガム」・
「トッポ」など、お菓子のジャンルを問わず数多くのヒット商品を生み出してきています。",0
"CZ1OkX1bbpY","Nayee Brahmins Calls off Protest After Talks With CM Chandrababu | ABN Telugu","2018-06-19 01:45:28 UTC","https://www.youtube.com/watch?v=CZ1OkX1bbpY","Chief Minister N Chandrababu Naidu’s convoy at the Interim Government Complex in Velagapudi demanding minimum wages, members of the Nayee Brahmins Association held talks with the TDP supremo and called off their strike. Emerging from the meeting, representatives of the body said they were satisfied with Naidu’s assurances.

For more latest and breaking news subscribe @  https://www.youtube.com/user/ABNtelugutv?sub_confirmation=1 

Follow us @
https://facebook.com/abntelugutv
https://twitter.com/abntelugutv
http://www.abnandhrajyothy.com/
https://play.google.com/store/apps/details?id=com.abn.jyothy&hl=en
https://itunes.apple.com/in/app/abn-andhrajyothy/id582664798?mt=8
https://plus.google.com/+abntelugutv
https://dailymotion.com/abntelugutv

ABN is a 24/7 Telugu news television channel run by Amoda Broadcasting Network dedicated to live reports, exclusive interviews, breaking news, sport, weather, entertainment, business updates and current affairs.",14749,124,"UC_2irx_BQR7RsBKmUV9fePQ","ABN Telugu","https://www.youtube.com/channel/UC_2irx_BQR7RsBKmUV9fePQ","Official Youtube Channel of ABN Andhrajyothy

ABN is a 24/7 Telugu news television channel run by Amoda Broadcasting Network dedicated to live reports, exclusive interviews, breaking news, sport, weather, entertainment, business updates and current affairs.",1
"d8YtvZVtlvI","AP CM Chandrababu and PM Modi's Entry Visuals in Niti Aayog Meeting | ABN Telugu","2018-06-17 07:22:56 UTC","https://www.youtube.com/watch?v=d8YtvZVtlvI","AP CM Chandrababu has given a 20 minutes speech in NITI Aayog meeting in Delhi.  He has utilized the opportunity to raise division promises issue while pointing out BJP govt's follies in fulfilling their commitment, strategically. Chandrababu has read a 13-page report which includes AP Special Category Status and Bifurcation Promises. He has also claimed about the reduction in state income due to central govt's implementation of GST. He has questioned the failure of BJP govt in Niti Aayog meeting.

For more latest and breaking news subscribe @  https://www.youtube.com/user/ABNtelugutv?sub_confirmation=1 

Follow us @
https://facebook.com/abntelugutv
https://twitter.com/abntelugutv
http://www.abnandhrajyothy.com/
https://play.google.com/store/apps/details?id=com.abn.jyothy&hl=en
https://itunes.apple.com/in/app/abn-andhrajyothy/id582664798?mt=8
https://plus.google.com/+abntelugutv
https://dailymotion.com/abntelugutv

ABN is a 24/7 Telugu news television channel run by Amoda Broadcasting Network dedicated to live reports, exclusive interviews, breaking news, sport, weather, entertainment, business updates and current affairs.",22346,206,"UC_2irx_BQR7RsBKmUV9fePQ","ABN Telugu","https://www.youtube.com/channel/UC_2irx_BQR7RsBKmUV9fePQ","Official Youtube Channel of ABN Andhrajyothy

ABN is a 24/7 Telugu news television channel run by Amoda Broadcasting Network dedicated to live reports, exclusive interviews, breaking news, sport, weather, entertainment, business updates and current affairs.",1
"ezv6QdTsePw","日清焼そばU.F.O. CM 「淋しい熱帯魚 篇」 15秒 / 内田裕也","2018-06-25 01:01:03 UTC","https://www.youtube.com/watch?v=ezv6QdTsePw","日清焼そばU.F.O.の2018年CM第2弾が公開！！！
ブランドサイトで最新CMをチェック！ 
↓↓↓
http://www.nissin-ufo.jp/

日清焼そばU.F.O.の濃厚なソースの魅力をメッセージする、日本一濃厚な人生を生きる男・内田裕也。シリーズ第2弾を飾る楽曲は、Winkの淋しい熱帯魚。ロッケンロールの神様が、ついに時代までも越えた。80年代風のパステル＆肩パットな衣装を裕也流にアレンジしたスタイリングで、おなじみの激似動物エジプトハゲワシと、奇跡のDUOを結成。当時のトーンを再現した映像の中、あの懐かしい写し鏡のような振り付けを息ぴったりで完コピ。ロッケンローラー内田裕也が”踊ってみた”を披露するという、かつてない濃厚なシリーズのCM第2弾です。

濃厚な日清焼そばU.F.O.公式twitterアカウントはこちら
↓↓↓
https://twitter.com/nissin_u_f_o",4740,,"UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループ公式チャンネル","https://www.youtube.com/channel/UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループの公式Youtubeチャンネルです。",0
"bWWjUs42Jwc","日清焼そばU.F.O. CM 「淋しい熱帯魚 篇 2020」 30秒 / 内田裕也","2018-06-25 01:00:35 UTC","https://www.youtube.com/watch?v=bWWjUs42Jwc","日清焼そばU.F.O.の2018年CM第2弾が公開！！！
ブランドサイトで最新CMをチェック！ 
↓↓↓
http://www.nissin-ufo.jp/

日清焼そばU.F.O.の濃厚なソースの魅力をメッセージする、日本一濃厚な人生を生きる男・内田裕也。シリーズ第2弾を飾る楽曲は、Winkの淋しい熱帯魚。ロッケンロールの神様が、ついに時代までも越えた。80年代風のパステル＆肩パットな衣装を裕也流にアレンジしたスタイリングで、おなじみの激似動物エジプトハゲワシと、奇跡のDUOを結成。当時のトーンを再現した映像の中、あの懐かしい写し鏡のような振り付けを息ぴったりで完コピ。ロッケンローラー内田裕也が”踊ってみた”を披露するという、かつてない濃厚なシリーズのCM第2弾です。

濃厚な日清焼そばU.F.O.公式twitterアカウントはこちら
↓↓↓
https://twitter.com/nissin_u_f_o",22358,,"UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループ公式チャンネル","https://www.youtube.com/channel/UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループの公式Youtubeチャンネルです。",0
"FKsgcRCA3Lk","日清麺職人CM 「通販 篇」","2018-06-11 01:00:13 UTC","https://www.youtube.com/watch?v=FKsgcRCA3Lk","誰しもが知っているであろうあの通販番組をパロディし、ものまね芸人ビューティーこくぶさんが日清麺職人をPR。
お馴染みのあのかん高い声による怒涛のマシンガントークで商品特長を語ります。
”通販あるある”をふんだんに詰め込んだパロディCMを是非ご覧ください。

日清麺職人ブランドサイト
https://store.nissin.com/jp/feature/menshokunin/",5961,,"UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループ公式チャンネル","https://www.youtube.com/channel/UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループの公式Youtubeチャンネルです。",0
"py6PDlAoXps","チキンラーメンCM 「ぐで垣結衣 篇」15秒 / 新垣結衣","2018-06-08 01:20:07 UTC","https://www.youtube.com/watch?v=py6PDlAoXps","はぁ～
ここ書くのめんどくさぁ～い
誰か書いて～

はぁ・・・誰もいない・・・

笛の人誰?って思ってる人にだけお伝えしておくと、下手すぎるリコーダー奏者のマルホランドさんです。正しくはマルホランドさんのそっくりさんです。

ビザ間に合わなかったから・・・Sorry・・・ってメール来たから・・・

でも曲はマルホランドさんご本人です。聴いていると力が抜けちゃうんですよね。

はぁ～

Matt Mulholland (マット・マルホランド)
https://www.youtube.com/channel/UC0KdD41_dzHdDF1b1bN4cSw",21618,,"UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループ公式チャンネル","https://www.youtube.com/channel/UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループの公式Youtubeチャンネルです。",0
"ZKbxtFc-cOY","チキンラーメンCM 「ぐで垣結衣 篇」30秒 / 新垣結衣","2018-06-08 01:20:26 UTC","https://www.youtube.com/watch?v=ZKbxtFc-cOY","はぁ～
ここ書くのめんどくさぁ～い
誰か書いて～

はぁ・・・誰もいない・・・

笛の人誰?って思ってる人にだけお伝えしておくと、下手すぎるリコーダー奏者のマルホランドさんです。正しくはマルホランドさんのそっくりさんです。

ビザ間に合わなかったから・・・Sorry・・・ってメール来たから・・・

でも曲はマルホランドさんご本人です。聴いていると力が抜けちゃうんですよね。

はぁ～

Matt Mulholland (マット・マルホランド)
https://www.youtube.com/channel/UC0KdD41_dzHdDF1b1bN4cSw",586165,,"UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループ公式チャンネル","https://www.youtube.com/channel/UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループの公式Youtubeチャンネルです。",0
"Ig_oHEGh0zo","カップヌードルCM 「ヤバい。なんか熱い。東南審議 篇」 30秒 / EXILE TRIBE","2018-06-01 01:01:43 UTC","https://www.youtube.com/watch?v=Ig_oHEGh0zo","この時代に足りないもの、それは熱さかもしれない。
熱苦しい情熱が冷笑される時代だとしても、
世の中を変えてきたのは、いつだって熱い想いだったはず。
気合いひとつで世界に挑む、そんなヤバいくらいに熱い人々をカップヌードルは応援したい。
その熱さが、きっと世界を沸かす。
ヤバい。なんか熱い。",36638,,"UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループ公式チャンネル","https://www.youtube.com/channel/UC_Mqb6toM3tO8aAD6Q5HXvA","日清食品グループの公式Youtubeチャンネルです。",0
